"7d. U.S. Regional Electricity Generation, Electric Power Sector"
"Nuclear","Electric power sector generation by nuclear: Florida (FRCC)",1,1,"billion kilowatthours","NUEPGEN_FL",7.52,7.72,7.01,7.07,7.63,6.41,7.75,7.31,7.29,7.56,7.62,6.96,7.84,7.21,7.21,5.80,7.32,7.86,7.51,8.08,7.12,7.00,7.54,7.70,7.24,7.85,7.87,6.36
"Conventional hydropower","Electric power sector generation by conventional hydropower: Florida (FRCC)",1,1,"billion kilowatthours","HVEPGEN_FL",0.05,0.05,0.06,0.08,0.08,0.06,0.03,0.04,0.09,0.07,0.04,0.04,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.05,0.04,0.04,0.06,0.05,0.04,0.04
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_FL",1.34,1.33,1.25,1.27,1.47,1.69,1.59,1.37,1.85,2.33,2.23,1.87,2.35,3.09,2.85,2.53,2.90,3.75,3.50,2.70,3.82,5.32,4.46,3.48,5.10,6.81,5.68,4.35
"Other energy sources ","Electric power sector generation by other energy sources: Florida (FRCC)",1,1,"billion kilowatthours","XXEPGEN_FL",0.95,0.80,1.13,0.68,0.83,0.86,0.78,0.69,0.89,0.78,0.91,0.69,0.73,0.69,0.62,0.54,0.70,0.57,0.70,0.67,0.73,0.62,0.72,0.60,0.76,0.64,0.70,0.61
"Total generation","Total electric power sector net generation: Florida (FRCC)",1,1,"billion kilowatthours","TOEPGEN_FL",50.40,58.00,67.29,54.49,49.40,60.46,68.05,54.20,52.60,60.14,69.33,55.76,50.62,60.70,69.25,53.21,53.24,64.23,72.69,56.84,51.20,58.27,72.37,55.16,59.69,67.60,79.20,59.73
"Net energy for load ","Net energy for load: Florida (FRCC)",1,1,"billion kilowatthours","ELLOAD_FL",50.59,59.21,69.05,55.04,49.53,54.97,68.17,54.41,52.51,63.05,72.32,56.74,51.56,63.84,68.77,53.40,53.21,66.45,74.11,58.48,53.89,61.82,69.66,54.34,52.34,61.36,69.87,54.64
"Midcontinent ISO (MISO)","Midcontinent ISO (MISO)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","NGEPGEN_MW",35.47,42.57,48.17,31.16,37.19,42.22,54.78,42.74,46.22,45.57,52.59,38.49,35.40,40.84,48.04,43.19,41.51,47.41,59.74,44.00,46.32,52.46,59.31,47.10,42.53,49.92,55.56,44.13
"Coal","Electric power sector generation by coal: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","CLEPGEN_MW",82.58,77.80,93.47,83.89,77.28,61.16,76.13,61.31,51.19,41.06,68.43,57.70,69.74,60.11,83.25,54.60,64.46,54.06,68.64,53.42,52.25,50.36,62.89,45.72,52.81,42.57,59.66,46.75
"Nuclear","Electric power sector generation by nuclear: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","NUEPGEN_MW",26.42,22.90,25.70,23.27,25.25,23.20,27.10,26.70,26.62,22.86,24.39,21.24,23.62,22.55,25.16,24.36,23.81,19.61,24.28,23.66,23.40,21.75,24.50,21.00,23.27,22.48,23.88,21.58
"Conventional hydropower","Electric power sector generation by conventional hydropower: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","HVEPGEN_MW",2.13,2.38,2.18,2.49,2.94,3.10,2.51,2.37,2.93,3.15,2.60,2.46,2.49,2.90,2.48,2.26,2.85,2.73,2.47,2.30,2.74,2.97,2.39,2.21,2.52,2.90,2.37,2.21
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_MW",17.35,14.27,11.13,15.67,16.64,16.06,12.65,19.09,19.80,19.59,16.12,23.67,23.27,22.75,18.52,27.27,32.04,28.74,20.32,31.23,33.36,30.64,22.33,33.70,35.65,32.90,25.04,36.02
"Other energy sources ","Electric power sector generation by other energy sources: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","XXEPGEN_MW",1.98,1.68,1.84,1.65,1.96,1.43,1.70,0.98,1.44,1.28,1.29,1.26,1.88,1.45,1.78,1.77,1.41,1.69,1.32,1.81,1.61,1.58,1.60,1.60,1.58,1.50,1.53,1.70
"Total generation","Total electric power sector net generation: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","TOEPGEN_MW",165.93,161.61,182.50,158.13,161.26,147.19,174.87,153.20,148.20,133.51,165.42,144.82,156.41,150.60,179.23,153.45,166.08,154.24,176.77,156.42,159.67,159.75,173.00,151.33,158.36,152.26,168.04,152.40
"Net energy for load ","Net energy for load: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","ELLOAD_MW",160.83,160.92,181.69,158.42,160.80,151.91,178.72,154.42,153.95,142.26,172.44,148.63,158.34,154.55,180.44,154.92,165.11,158.96,179.54,155.83,158.87,160.51,179.92,156.85,165.98,160.54,180.83,157.91
"Southwest Power Pool (SPP)","Southwest Power Pool (SPP)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","NGEPGEN_SP",12.20,17.71,20.80,12.90,14.39,16.04,24.28,14.73,17.56,15.66,22.54,13.14,12.25,13.23,17.37,9.96,10.42,13.40,22.35,14.28,13.30,15.33,22.47,15.10,13.33,16.14,21.92,14.98
"Coal","Electric power sector generation by coal: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","CLEPGEN_SP",25.46,22.49,31.32,25.08,24.71,17.17,24.86,17.18,14.66,14.05,24.29,17.79,19.63,18.49,28.87,17.54,22.13,20.47,30.14,18.77,16.18,16.39,21.81,13.22,16.74,14.23,22.18,12.84
"Nuclear","Electric power sector generation by nuclear: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","NUEPGEN_SP",4.20,2.79,4.28,3.53,4.38,4.38,4.08,3.36,4.36,4.38,4.20,3.83,4.14,2.79,4.25,4.28,4.28,4.29,3.94,2.08,4.28,4.28,4.32,4.32,4.28,2.96,4.32,3.50
"Conventional hydropower","Electric power sector generation by conventional hydropower: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","HVEPGEN_SP",3.32,3.79,3.71,4.70,5.82,6.73,4.20,3.78,5.11,5.28,3.46,2.99,3.65,4.26,3.46,3.13,4.26,3.86,3.23,3.13,3.89,4.31,3.71,3.08,3.59,4.20,3.67,3.06
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_SP",19.55,19.50,13.76,17.37,18.30,18.79,18.17,21.97,21.30,22.44,17.51,23.42,23.18,24.10,21.33,27.15,28.63,29.59,21.29,27.75,31.01,31.60,22.83,28.86,33.04,32.66,23.92,30.48
"Other energy sources ","Electric power sector generation by other energy sources: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","XXEPGEN_SP",0.33,0.26,0.26,0.33,0.38,0.45,0.24,0.22,0.27,0.20,0.19,0.26,0.45,0.29,0.26,0.30,0.27,0.36,0.19,0.39,0.28,0.35,0.14,0.25,0.33,0.35,0.16,0.28
"Total generation","Total electric power sector net generation: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","TOEPGEN_SP",65.07,66.55,74.13,63.92,67.98,63.56,75.82,61.26,63.26,62.02,72.18,61.44,63.29,63.15,75.53,62.37,69.99,71.96,81.15,66.39,68.94,72.25,75.29,64.83,71.29,70.53,76.18,65.15
"Net energy for load ","Net energy for load: Southwest Power Pool (SPP)",1,1,"billion kilowatthours","ELLOAD_SP",64.50,66.90,74.81,62.80,66.15,64.20,76.48,62.36,63.99,62.70,74.96,61.44,64.79,61.72,75.57,59.72,67.49,65.65,81.00,65.53,67.45,65.77,77.53,63.44,67.46,66.00,78.35,64.48
"Texas (ERCOT)","Texas (ERCOT)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Texas (ERCOT)",1,1,"billion kilowatthours","NGEPGEN_TX",33.78,41.50,57.01,34.48,34.95,43.37,63.75,39.67,37.52,41.71,59.55,35.30,32.69,39.36,57.81,34.24,33.42,42.83,64.72,40.91,31.96,33.68,52.41,33.85,26.11,24.26,43.26,28.56
"Coal","Electric power sector generation by coal: Texas (ERCOT)",1,1,"billion kilowatthours","CLEPGEN_TX",18.36,21.37,25.78,21.89,17.57,17.75,20.92,16.60,12.60,15.26,19.70,17.22,15.76,17.93,22.02,16.46,17.67,16.81,20.17,16.56,11.23,13.39,19.13,14.16,12.72,13.91,19.06,13.70
"Nuclear","Electric power sector generation by nuclear: Texas (ERCOT)",1,1,"billion kilowatthours","NUEPGEN_TX",10.78,10.15,10.95,9.31,10.38,9.78,10.98,10.16,10.45,9.67,11.02,10.30,10.48,9.83,10.96,8.94,11.02,9.87,10.72,10.00,10.96,9.06,11.04,10.14,10.92,9.79,11.04,9.19
"Conventional hydropower","Electric power sector generation by conventional hydropower: Texas (ERCOT)",1,1,"billion kilowatthours","HVEPGEN_TX",0.22,0.24,0.18,0.17,0.26,0.27,0.20,0.13,0.16,0.20,0.15,0.12,0.12,0.19,0.13,0.09,0.19,0.13,0.04,0.11,0.19,0.21,0.13,0.10,0.16,0.21,0.13,0.10
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_TX",18.44,21.48,14.28,16.92,18.90,21.01,18.90,20.09,21.94,24.60,20.53,23.63,25.14,27.50,23.31,28.81,30.85,39.17,28.06,29.29,36.65,45.51,33.43,33.37,41.25,51.68,41.96,39.46
"Other energy sources ","Electric power sector generation by other energy sources: Texas (ERCOT)",1,1,"billion kilowatthours","XXEPGEN_TX",0.30,0.37,0.33,0.33,0.43,0.39,0.41,0.40,0.40,0.33,0.38,0.42,0.29,0.32,0.42,0.42,0.36,0.45,0.37,0.35,0.32,0.36,0.32,0.35,0.21,0.30,0.20,0.19
"Total generation","Total electric power sector net generation: Texas (ERCOT)",1,1,"billion kilowatthours","TOEPGEN_TX",81.87,95.11,108.52,83.09,82.48,92.56,115.15,87.05,83.07,91.77,111.32,87.00,84.48,95.14,114.66,88.95,93.50,109.26,124.08,97.23,91.31,102.22,116.47,91.97,91.37,100.16,115.66,91.20
"Net energy for load ","Net energy for load: Texas (ERCOT)",1,1,"billion kilowatthours","ELLOAD_TX",81.87,95.11,108.52,83.09,82.48,92.56,115.15,87.05,83.07,91.77,111.32,87.00,84.48,95.14,114.66,88.95,93.50,109.26,124.08,97.23,91.31,102.22,116.47,91.97,91.37,100.16,115.66,91.20
"Northwest and Rockies","Northwest and Rockies",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Northwest and Rockies",1,1,"billion kilowatthours","NGEPGEN_NW",17.81,15.72,29.60,20.03,21.89,16.83,30.19,23.94,24.52,16.88,27.71,22.27,22.10,20.96,29.54,21.74,20.24,15.92,27.32,24.65,25.26,11.70,25.87,17.05,17.50,11.56,27.47,18.00
"Coal","Electric power sector generation by coal: Northwest and Rockies",1,1,"billion kilowatthours","CLEPGEN_NW",27.79,22.00,33.67,32.78,32.34,20.08,31.89,30.59,24.59,17.92,26.89,25.14,24.61,20.40,29.09,24.13,21.67,18.13,26.89,22.09,23.19,15.68,25.13,20.75,20.49,14.28,24.84,19.93
"Nuclear","Electric power sector generation by nuclear: Northwest and Rockies",1,1,"billion kilowatthours","NUEPGEN_NW",2.52,2.15,2.53,2.52,2.49,1.31,2.51,2.56,2.44,2.04,2.43,2.51,2.48,1.20,2.51,2.32,2.48,2.33,2.50,2.55,2.46,1.25,2.44,2.44,2.42,2.42,2.44,2.44
"Conventional hydropower","Electric power sector generation by conventional hydropower: Northwest and Rockies",1,1,"billion kilowatthours","HVEPGEN_NW",41.48,44.54,29.50,27.40,30.46,37.10,27.09,26.19,33.09,37.84,32.48,29.20,32.87,31.49,26.32,28.83,38.68,35.66,34.02,26.85,28.41,37.38,29.90,27.82,35.15,41.17,30.71,28.25
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_NW",11.43,13.16,11.88,9.98,9.73,13.13,13.12,10.07,14.49,14.41,13.39,14.57,15.65,17.12,15.75,17.32,19.22,20.42,15.96,18.03,21.43,21.90,17.96,19.61,23.21,24.27,20.33,21.00
"Other energy sources ","Electric power sector generation by other energy sources: Northwest and Rockies",1,1,"billion kilowatthours","XXEPGEN_NW",0.12,0.12,0.16,0.12,0.02,0.04,0.03,0.05,-0.01,-0.01,-0.03,0.05,0.17,0.19,0.21,0.16,0.20,0.19,0.17,0.19,0.11,0.12,0.12,0.09,0.14,0.11,0.12,0.10
"Total generation","Total electric power sector net generation: Northwest and Rockies",1,1,"billion kilowatthours","TOEPGEN_NW",101.15,97.69,107.34,92.83,96.92,88.48,104.83,93.40,99.11,89.08,102.86,93.73,97.90,91.37,103.42,94.48,102.49,92.64,106.86,94.36,100.86,88.02,101.43,87.77,98.90,93.79,105.92,89.73
"Net energy for load ","Net energy for load: Northwest and Rockies",1,1,"billion kilowatthours","ELLOAD_NW",90.22,87.28,97.90,93.33,95.55,85.86,99.62,90.85,94.01,85.75,98.57,90.54,93.45,90.33,102.44,91.37,97.02,89.14,104.88,97.35,98.00,90.67,101.70,92.75,95.69,90.78,101.78,92.90
"Southwest","Southwest",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Southwest",1,1,"billion kilowatthours","NGEPGEN_SW",6.15,10.78,17.61,11.96,10.06,12.62,18.68,14.13,11.72,14.54,19.60,14.37,10.69,15.28,19.33,11.35,9.57,12.88,18.56,13.59,12.13,14.91,22.28,14.93,7.45,11.38,18.83,12.99
"Coal","Electric power sector generation by coal: Southwest",1,1,"billion kilowatthours","CLEPGEN_SW",9.83,9.52,13.60,12.37,10.22,8.46,12.43,8.01,5.79,5.92,9.38,7.24,6.03,6.17,8.99,7.97,6.13,6.26,8.11,6.23,5.59,5.14,6.47,4.88,6.15,5.21,6.60,4.66
"Nuclear","Electric power sector generation by nuclear: Southwest",1,1,"billion kilowatthours","NUEPGEN_SW",8.52,7.34,8.46,6.78,8.63,7.56,8.56,7.17,8.26,7.62,8.70,6.97,8.45,7.14,8.55,7.48,8.17,7.48,8.70,7.59,8.62,7.49,8.61,7.46,8.51,7.41,8.61,7.58
"Conventional hydropower","Electric power sector generation by conventional hydropower: Southwest",1,1,"billion kilowatthours","HVEPGEN_SW",2.19,2.55,2.28,1.77,1.95,2.37,2.40,1.66,1.83,2.35,2.23,1.89,2.04,2.34,2.02,1.48,1.90,2.06,1.79,1.40,1.42,2.17,2.08,1.39,1.72,2.00,1.81,1.37
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_SW",2.02,2.71,2.26,2.02,2.12,2.80,2.67,2.49,2.67,3.34,2.65,2.42,3.20,3.93,3.22,3.91,4.59,5.70,3.90,4.39,4.36,6.05,3.85,5.02,6.10,7.22,4.82,5.61
"Other energy sources ","Electric power sector generation by other energy sources: Southwest",1,1,"billion kilowatthours","XXEPGEN_SW",-0.02,0.05,0.06,-0.03,0.02,0.07,0.12,0.03,0.01,0.06,0.08,-0.01,-0.01,0.10,0.08,-0.00,-0.02,0.06,0.08,0.02,-0.01,0.07,0.09,0.02,-0.03,0.03,0.07,0.00
"Total generation","Total electric power sector net generation: Southwest",1,1,"billion kilowatthours","TOEPGEN_SW",28.70,32.96,44.27,34.87,33.01,33.88,44.85,33.49,30.29,33.82,42.62,32.88,30.41,34.97,42.20,32.19,30.34,34.43,41.15,33.23,32.10,35.82,43.39,33.69,29.90,33.25,40.73,32.22
"Net energy for load ","Net energy for load: Southwest",1,1,"billion kilowatthours","ELLOAD_SW",21.61,27.74,34.88,17.54,20.63,23.73,32.67,20.84,20.54,25.41,33.99,22.21,21.61,28.17,34.20,22.63,23.58,28.66,33.98,23.58,24.11,27.91,35.13,23.81,23.21,27.39,34.80,23.53
"California","California",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: California",1,1,"billion kilowatthours","NGEPGEN_CA",17.12,12.63,26.87,22.55,18.33,10.26,23.32,22.85,17.04,12.82,27.04,24.04,17.00,18.08,29.41,22.03,15.85,15.51,29.91,25.79,15.00,12.23,25.70,23.27,13.44,9.68,20.95,21.68
"Coal","Electric power sector generation by coal: California",1,1,"billion kilowatthours","CLEPGEN_CA",1.89,1.30,2.54,2.76,2.15,1.23,1.90,2.25,1.41,1.22,2.10,2.01,1.77,1.40,2.96,1.43,0.51,0.69,2.38,1.92,1.38,1.10,2.46,1.72,1.31,1.08,2.50,1.72
"Nuclear","Electric power sector generation by nuclear: California",1,1,"billion kilowatthours","NUEPGEN_CA",3.70,4.87,4.92,4.73,3.80,4.88,4.73,2.75,4.85,4.86,4.48,2.08,2.93,4.23,4.99,4.33,4.60,4.19,4.98,3.82,4.80,4.67,4.58,4.06,4.67,3.59,4.72,3.89
"Conventional hydropower","Electric power sector generation by conventional hydropower: California",1,1,"billion kilowatthours","HVEPGEN_CA",4.60,9.13,8.24,4.07,7.89,13.71,10.71,5.71,3.94,7.01,6.86,3.31,2.52,4.15,4.90,2.87,3.65,5.27,5.29,2.86,5.16,10.14,7.30,3.51,4.74,8.35,7.73,4.17
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_CA",12.33,18.93,18.24,12.10,12.62,18.69,19.16,11.27,13.14,19.46,18.92,12.84,14.77,22.13,20.01,13.35,16.65,22.77,20.73,15.97,17.87,24.24,22.63,18.19,19.88,26.17,24.88,18.90
"Other energy sources ","Electric power sector generation by other energy sources: California",1,1,"billion kilowatthours","XXEPGEN_CA",-0.07,0.14,0.11,-0.13,-0.20,0.20,0.19,-0.01,-0.06,0.05,0.12,0.06,-0.05,-0.08,-0.01,-0.10,-0.03,-0.18,0.14,-0.17,-0.10,-0.20,-0.01,-0.27,-0.09,-0.46,-0.14,-0.41
"Total generation","Total electric power sector net generation: California",1,1,"billion kilowatthours","TOEPGEN_CA",39.56,47.00,60.93,46.08,44.59,48.97,60.03,44.83,40.31,45.42,59.51,44.33,38.94,49.90,62.27,43.91,41.23,48.25,63.42,50.19,44.12,52.18,62.66,50.49,43.95,48.42,60.65,49.97
"Net energy for load ","Net energy for load: California",1,1,"billion kilowatthours","ELLOAD_CA",57.59,62.63,79.76,62.90,58.35,61.75,77.42,60.03,55.16,57.15,72.43,58.18,52.18,57.74,71.24,56.57,53.46,57.51,72.57,56.85,54.98,57.43,70.65,55.40,53.86,57.30,70.71,55.49